TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-05 08:07:06,1767600426794,www.soulprintengine.ai/dashboard/chat,POST,,200,ww8zw-1767600426212-757f54385e2b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",error,production,main,MISS,serverless,/dashboard/chat,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,,,,,"Error saving chat message: {
  code: '23502',
  details: null,
  hint: null,
  message: 'null value in column ""session_id"" of relation ""chat_logs"" violates not-null constraint'
}",prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-05 08:07:06,1767600426212,www.soulprintengine.ai/dashboard/chat,POST,,200,ww8zw-1767600426212-757f54385e2b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,serverless,/dashboard/chat,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,253,iad1,271,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K43GSKCFCRE69QQVC9KY0,AWJuE5yLzjro,1
2026-01-05 08:07:06,1767600426212,www.soulprintengine.ai/dashboard/chat,POST,,200,ww8zw-1767600426212-757f54385e2b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,middleware,middleware,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,259,iad1,136,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K437G55H26DJ9CBKQFHKZ,khUtKbEgxn4x,1
2026-01-05 08:07:05,1767600425341,www.soulprintengine.ai/api/v1/chat/completions,POST,,200,ct75z-1767600424373-4db6a3b6ec0a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",info,production,main,MISS,serverless,/api/v1/chat/completions,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,,,,,☁️ Using Gemini 2.0 Flash Fallback,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-05 08:07:04,1767600424373,www.soulprintengine.ai/api/v1/chat/completions,POST,,200,ct75z-1767600424373-4db6a3b6ec0a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,serverless,/api/v1/chat/completions,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,1542,iad1,278,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K41G2K3SRCQP68Z8G57VK,jwnwS4ei7pqz,1
2026-01-05 08:07:04,1767600424241,www.soulprintengine.ai/dashboard/chat,POST,,200,f86pq-1767600423471-5e47d29a8fde,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",error,production,main,MISS,serverless,/dashboard/chat,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,,,,,"Error saving chat message: {
  code: '23502',
  details: null,
  hint: null,
  message: 'null value in column ""session_id"" of relation ""chat_logs"" violates not-null constraint'
}",prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-05 08:07:03,1767600423471,www.soulprintengine.ai/dashboard/chat,POST,,200,f86pq-1767600423471-5e47d29a8fde,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,middleware,middleware,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,249,iad1,136,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K40HXAG5S2NVGKP2SE5X5,khUtKbEgxn4x,1
2026-01-05 08:07:03,1767600423471,www.soulprintengine.ai/dashboard/chat,POST,,200,f86pq-1767600423471-5e47d29a8fde,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,serverless,/dashboard/chat,www.soulprintengine.ai,www.soulprintengine.ai,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,481,iad1,275,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K40TD2WGK7K7431EFBMJP,AWJuE5yLzjro,1
2026-01-05 08:06:59,1767600419467,www.soulprintengine.ai/dashboard/chat,POST,,200,whltw-1767600419467-e2cfbd1e00c6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,middleware,middleware,www.soulprintengine.ai,soulprint-landing-27ykqnmkm-a55ets-projects.vercel.app,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,287,iad1,136,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K3WMM2GP54TX71M893WH8,khUtKbEgxn4x,1
2026-01-05 08:06:59,1767600419467,www.soulprintengine.ai/dashboard/chat,POST,,200,whltw-1767600419467-e2cfbd1e00c6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,serverless,/dashboard/chat,www.soulprintengine.ai,soulprint-landing-27ykqnmkm-a55ets-projects.vercel.app,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,267,iad1,268,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K3WYCS66JYYA90MXRV48S,BVxfDWO0XvY6,1
2026-01-05 08:06:58,1767600418740,www.soulprintengine.ai/dashboard/chat,POST,,200,whltw-1767600418740-eb07e4e0821e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,middleware,middleware,www.soulprintengine.ai,soulprint-landing-27ykqnmkm-a55ets-projects.vercel.app,dpl_BEtz8enaTwrCqXXtV7P1kJe1ngTs,250,iad1,136,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KE6K3VXZ8BRJZ2X3QFKMAH5S,khUtKbEgxn4x,1
